instance,n_customers,coverage,coverage_pct,omega,placement_seed,solver_seed,base_tabu_tenure,max_iter,shake_tenure,shake_iter,shake_steps,opt_iter,phi,use_candidate_lists,use_extended_operators,best_cost,vehicles,iterations_done,moves_generated,moves_evaluated,moves_skipped_validity,moves_skipped_tabu,shakes,solver_time_sec,candidate_pairs,selected_arcs,applied_arcs,total_reduction,frvcp_calls,frvcp_total_time_sec,frvcp_avg_time_ms,error,experiment
tc2c10s2cf0.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.922733928674162,2,100,40365,16269,24096,346,4,2.3172948360443115,45,26,24,175048.67633871565,,,,,multiseed_replication
tc2c10s2ct0.xml,10,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.309738827499048,3,100,41269,29735,11534,478,4,3.856091022491455,45,8,8,33333.25300082592,,,,,multiseed_replication
tc2c10s2ct0.xml,10,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,10.925853189131102,2,100,40219,24332,15887,470,4,2.8523221015930176,45,18,16,110499.27000587764,,,,,multiseed_replication
tc2c10s2ct0.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,10.924028930312089,2,100,40219,24332,15887,478,4,2.718951940536499,45,26,24,136111.81218025362,,,,,multiseed_replication
tc2c10s3cf0.xml,10,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,19.591702724353947,3,100,42550,27435,15115,338,4,2.6755788326263428,45,8,8,80860.92204658699,,,,,multiseed_replication
tc2c10s3cf0.xml,10,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.788632619683929,2,100,40200,21004,19196,84,4,2.0873279571533203,45,18,18,119306.14102736831,,,,,multiseed_replication
tc2c10s3cf0.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.788632619683929,2,100,40200,21004,19196,88,4,2.0431740283966064,45,26,26,163644.22907813624,,,,,multiseed_replication
tc2c10s3ct0.xml,10,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.32021736432769,2,100,40200,21400,18800,136,5,3.320851802825928,45,8,8,49142.6778690584,,,,,multiseed_replication
tc2c10s3ct0.xml,10,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,10.932157167633306,2,100,40478,24638,15840,394,4,4.171389818191528,45,18,18,109526.84045106434,,,,,multiseed_replication
tc2c10s3ct0.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,10.643458192459924,2,100,40206,20374,19832,342,4,3.3953630924224854,45,26,26,193876.8083215907,,,,,multiseed_replication
tc0c20s3cf2.xml,20,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,17.19530367223345,3,100,120000,21475,98525,764,4,14.672168016433716,190,38,38,242963.13225437744,,,,,multiseed_replication
tc0c20s3cf2.xml,20,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,16.033978971233477,3,100,120000,26136,93864,1195,3,12.645237922668455,190,76,76,508375.4356335677,,,,,multiseed_replication
tc0c20s3cf2.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,16.334066684553044,3,100,120000,29246,90754,1234,3,13.760366678237917,190,114,114,820942.8950521378,,,,,multiseed_replication
tc0c20s3ct2.xml,20,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,16.287373776471796,3,100,120000,26316,93684,1086,4,16.001636266708374,190,38,38,265022.2661486278,,,,,multiseed_replication
tc0c20s3ct2.xml,20,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,15.95622644727132,3,100,120000,30690,89310,1778,4,16.897334098815918,190,76,76,492532.8493522165,,,,,multiseed_replication
tc0c20s3ct2.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,15.85179219078399,3,100,120000,32182,87818,1677,4,14.073937892913818,190,114,114,741834.6465539064,,,,,multiseed_replication
tc0c20s4cf2.xml,20,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,17.72840987776756,3,100,120000,31734,88266,1110,3,16.1480929851532,190,38,38,284079.2471014117,,,,,multiseed_replication
tc0c20s4cf2.xml,20,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,16.80841558813131,3,100,120000,23686,96314,471,4,14.478209733963013,190,76,76,506743.7368232431,,,,,multiseed_replication
tc0c20s4cf2.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,16.390468460335185,3,100,120000,22930,97070,996,4,13.345456838607788,190,114,114,823386.7225058521,,,,,multiseed_replication
tc0c20s4ct2.xml,20,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,15.999015916590045,3,100,120000,23715,96285,857,3,15.741721153259276,190,38,38,231626.1710933522,,,,,multiseed_replication
tc0c20s4ct2.xml,20,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,15.815016814789033,3,100,120000,33151,86849,1642,4,14.514789819717407,190,76,76,476768.9874991735,,,,,multiseed_replication
tc0c20s4ct2.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,15.671571548428572,3,100,120000,29119,90881,2154,4,16.966800212860107,190,114,114,737075.0970300089,,,,,multiseed_replication
tc1c20s3cf1.xml,20,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,16.59612095237732,4,100,120000,65325,54675,2914,4,24.80620288848877,190,38,38,203894.92450671527,,,,,multiseed_replication
tc1c20s3cf1.xml,20,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,15.198277644925296,3,100,120000,44777,75223,2173,4,21.76167726516724,190,76,76,440434.2573573765,,,,,multiseed_replication
tc1c20s3cf1.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,14.848118673777591,3,100,120000,46106,73894,2033,4,18.90550804138184,190,114,112,608330.0934181722,,,,,multiseed_replication
tc1c20s3cf3.xml,20,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,13.90496029028547,3,100,120000,37077,82923,917,4,17.365838050842285,190,38,38,245102.67762314016,,,,,multiseed_replication
tc1c20s3cf3.xml,20,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.712594770897764,3,100,120000,28793,91207,1010,4,14.961397886276243,190,76,74,413019.6601677397,,,,,multiseed_replication
tc1c20s3cf3.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.669794371373287,3,100,120000,28398,91602,1368,4,15.760676860809326,190,114,110,659555.1139822198,,,,,multiseed_replication
tc1c20s3cf4.xml,20,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,16.20925848547012,4,100,120000,59939,60061,2101,4,18.33131194114685,190,38,36,201657.7195863708,,,,,multiseed_replication
tc1c20s3cf4.xml,20,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,15.807776435846566,4,100,120000,57017,62983,3508,4,21.33209490776062,190,76,74,453345.390783822,,,,,multiseed_replication
tc1c20s3cf4.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,15.332326339267532,3,100,120000,41194,78806,2909,4,15.387712001800535,190,114,112,719848.7231146516,,,,,multiseed_replication
