instance,n_customers,coverage,coverage_pct,omega,placement_seed,solver_seed,base_tabu_tenure,max_iter,shake_tenure,shake_iter,shake_steps,opt_iter,phi,use_candidate_lists,use_extended_operators,best_cost,vehicles,iterations_done,moves_generated,moves_evaluated,moves_skipped_validity,moves_skipped_tabu,shakes,solver_time_sec,candidate_pairs,selected_arcs,applied_arcs,total_reduction,frvcp_calls,frvcp_total_time_sec,frvcp_avg_time_ms,error,experiment
tc0c20s3ct2.xml,20,0.2,20%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,16.886281947580258,3,100,120000,25701,94299,847,4,15.513500213623049,190,76,76,166466.01344282605,,,,,omega_sensitivity
tc0c20s3ct2.xml,20,0.3,30%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,16.860989957499324,3,100,120000,24606,95394,1380,4,14.984123229980469,190,114,114,250389.6420552854,,,,,omega_sensitivity
tc0c20s4cf2.xml,20,0.1,10%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,21.49457425695052,4,100,120000,50680,69320,1401,4,18.36529302597046,190,38,38,95341.03615321509,,,,,omega_sensitivity
tc0c20s4cf2.xml,20,0.2,20%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,19.47891128319776,4,100,120000,48323,71677,1559,4,20.51032495498657,190,76,76,170680.9043745152,,,,,omega_sensitivity
tc0c20s4cf2.xml,20,0.3,30%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,18.91280977531184,4,100,120000,57648,62352,1673,4,19.845192909240723,190,114,114,276425.85487438866,,,,,omega_sensitivity
tc0c20s4ct2.xml,20,0.1,10%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,16.98517996545668,3,100,120000,33118,86882,1170,4,15.13367795944214,190,38,38,77869.88958041694,,,,,omega_sensitivity
tc0c20s4ct2.xml,20,0.2,20%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,16.913250698998986,3,100,120000,32277,87723,1195,4,16.131430864334106,190,76,76,160496.68161428202,,,,,omega_sensitivity
tc0c20s4ct2.xml,20,0.3,30%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,16.879015512039672,3,100,120000,31911,88089,817,4,15.578641891479492,190,114,114,247731.4007446894,,,,,omega_sensitivity
tc1c20s3cf1.xml,20,0.1,10%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,17.48525006991739,3,100,120000,46116,73884,1686,3,24.82412600517273,190,38,38,69057.84020035964,,,,,omega_sensitivity
tc1c20s3cf1.xml,20,0.2,20%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,17.317524529333237,3,100,120000,47906,72094,3085,3,23.82516622543335,190,76,76,148386.93983167855,,,,,omega_sensitivity
tc1c20s3cf1.xml,20,0.3,30%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,17.175080766724253,4,100,120000,81168,38832,3861,4,20.65865707397461,190,114,112,205397.5082606761,,,,,omega_sensitivity
tc1c20s3cf3.xml,20,0.1,10%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,14.635242773610354,3,100,120000,42491,77509,1689,4,19.032668113708496,190,38,38,82883.69940374506,,,,,omega_sensitivity
