instance,n_customers,coverage,coverage_pct,omega,placement_seed,solver_seed,base_tabu_tenure,max_iter,shake_tenure,shake_iter,shake_steps,opt_iter,phi,use_candidate_lists,use_extended_operators,best_cost,vehicles,iterations_done,moves_generated,moves_evaluated,moves_skipped_validity,moves_skipped_tabu,shakes,solver_time_sec,candidate_pairs,selected_arcs,applied_arcs,total_reduction,frvcp_calls,frvcp_total_time_sec,frvcp_avg_time_ms,error,experiment,ablation
tc1c10s3cf2.xml,10,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,8.88918196986262,2,100,38626,20291,18335,393,0,2.5688979625701904,45,26,24,161323.35521579447,3357,0.6758785848505795,0.20133410332159055,,ablation_frvcp,no_shaking
tc1c10s3cf2.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,8.889181969862621,2,100,8590,4552,4038,141,4,1.0946781635284424,45,26,24,161323.35521579447,2484,0.4670346833881922,0.18801718332857978,,ablation_frvcp,no_extended_operators
tc1c10s3cf3.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.99738986253432,2,100,40269,18142,22127,491,4,2.458293914794922,45,26,24,136585.98005370438,2636,0.6704872366972268,0.2543578287925746,,ablation_frvcp,baseline
tc1c10s3cf3.xml,10,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,12.99738986253432,2,100,40246,18094,22152,267,0,2.1382410526275635,45,26,24,136585.98005370438,1890,0.477279823506251,0.25252900714616455,,ablation_frvcp,no_shaking
tc1c10s3cf3.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,13.060952130355938,2,100,11600,3300,8300,0,5,0.7173178195953369,45,26,24,136585.98005370438,1017,0.2476853291154839,0.24354506304374032,,ablation_frvcp,no_extended_operators
tc1c10s3cf4.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.95603412831059,2,100,40411,12896,27515,192,4,1.9246430397033691,45,26,26,207344.62812445778,1824,0.42739396973047405,0.23431686936977744,,ablation_frvcp,baseline
tc1c10s3cf4.xml,10,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,11.95603412831059,2,100,40200,12892,27308,36,0,1.7155351638793945,45,26,26,207344.62812445778,1338,0.28794276260305196,0.21520385844772194,,ablation_frvcp,no_shaking
tc1c10s3cf4.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,12.100566812187472,2,100,11608,2585,9023,48,5,0.6474828720092773,45,26,26,207344.62812445778,1046,0.22370713501004502,0.21386915392929734,,ablation_frvcp,no_extended_operators
tc1c10s3ct2.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,8.96796698026522,3,100,40418,23040,17378,870,4,4.11363410949707,45,26,20,126023.40765034949,5667,1.5981783641618676,0.28201488691756976,,ablation_frvcp,baseline
tc1c10s3ct2.xml,10,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,8.96796698026522,3,100,40952,24392,16560,502,0,3.252608060836792,45,26,20,126023.40765034949,3847,1.061437714844942,0.2759131049765901,,ablation_frvcp,no_shaking
tc1c10s3ct2.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,8.984610072012506,3,100,9902,6509,3393,151,4,1.4349522590637207,45,26,20,126023.40765034949,2588,0.7148447645595297,0.2762151331373762,,ablation_frvcp,no_extended_operators
tc1c10s3ct3.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.692910011178366,2,100,40194,18297,21897,306,4,2.2349157333374023,45,26,26,112429.88967174782,2059,0.5323013718007132,0.2585242213699433,,ablation_frvcp,baseline
tc1c10s3ct3.xml,10,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,12.692910011178366,2,100,40194,18303,21891,118,0,2.1055071353912354,45,26,26,112429.88967174782,1743,0.4522299164091237,0.25945491474992755,,ablation_frvcp,no_shaking
tc1c10s3ct3.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,12.692910011178366,2,100,11576,3486,8090,32,4,0.6170821189880371,45,26,26,112429.88967174782,846,0.22329333511879668,0.2639401124335658,,ablation_frvcp,no_extended_operators
tc1c10s3ct4.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.931071433734694,2,100,39739,10356,29383,305,4,1.9652059078216553,45,26,26,208696.887691358,2059,0.4549685853999108,0.2209658015541092,,ablation_frvcp,baseline
tc1c10s3ct4.xml,10,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,11.931071433734694,2,100,39727,10298,29429,193,0,1.8238270282745361,45,26,26,208696.887691358,1764,0.3889781915349886,0.22050917887471008,,ablation_frvcp,no_shaking
tc1c10s3ct4.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,11.931071433734695,2,100,10464,3062,7402,60,5,0.7801709175109863,45,26,26,208696.887691358,1388,0.31394700217060745,0.22618660098746934,,ablation_frvcp,no_extended_operators
tc2c10s2cf0.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.922733928674162,2,100,40365,16269,24096,346,4,2.364596128463745,45,26,24,175048.67633871565,2734,0.4756370402756147,0.17397111934002002,,ablation_frvcp,baseline
tc2c10s2cf0.xml,10,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,12.922733928674162,2,100,40363,16257,24106,310,0,2.1937899589538574,45,26,24,175048.67633871565,2381,0.40979452047031373,0.17211025639240393,,ablation_frvcp,no_shaking
tc2c10s2cf0.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,12.922733928674162,2,100,11608,5843,5765,46,4,0.9269049167633057,45,26,24,175048.67633871565,1643,0.28343027288792655,0.1725077741253357,,ablation_frvcp,no_extended_operators
tc2c10s2ct0.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,10.924028930312087,2,100,40219,24332,15887,478,4,2.7439303398132324,45,26,24,136111.81218025362,3745,0.8037036010064185,0.21460710307247488,,ablation_frvcp,baseline
tc2c10s2ct0.xml,10,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,10.924028930312087,2,100,40200,24289,15911,262,0,2.417006254196167,45,26,24,136111.81218025362,2812,0.5948644828167744,0.21154497966457125,,ablation_frvcp,no_shaking
tc2c10s2ct0.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,11.037546398292331,2,100,12006,7969,4037,83,4,1.1211340427398682,45,26,24,136111.81218025362,2268,0.48239461082266644,0.21269603651793054,,ablation_frvcp,no_extended_operators
tc2c10s3cf0.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.788632619683927,2,100,40200,21004,19196,88,4,2.0700762271881104,45,26,26,163644.22907813624,2066,0.4024689107318409,0.19480586192247865,,ablation_frvcp,baseline
tc2c10s3cf0.xml,10,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,12.788632619683927,2,100,40200,21004,19196,88,0,2.006110906600952,45,26,26,163644.22907813624,2003,0.39073409006232396,0.19507443338109035,,ablation_frvcp,no_shaking
tc2c10s3cf0.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,12.788632619683927,2,100,11600,6700,4900,0,5,0.7933518886566162,45,26,26,163644.22907813624,1490,0.2889622774673626,0.1939344144076259,,ablation_frvcp,no_extended_operators
tc2c10s3ct0.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,10.643458192459924,2,100,40206,20374,19832,342,4,3.426193952560425,45,26,26,193876.8083215907,3669,1.466234563908074,0.3996278451643701,,ablation_frvcp,baseline
tc2c10s3ct0.xml,10,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,10.643458192459924,2,100,40204,20355,19849,146,0,2.84490704536438,45,26,26,193876.8083215907,2676,1.0592992333113216,0.3958517314317345,,ablation_frvcp,no_shaking
tc2c10s3ct0.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,10.643458192459924,2,100,11612,5836,5776,88,4,1.4685430526733398,45,26,26,193876.8083215907,2267,0.8407003105967306,0.3708426601661802,,ablation_frvcp,no_extended_operators
tc0c20s3cf2.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,16.334066684553044,3,100,120000,29246,90754,1234,3,13.92490005493164,190,114,114,820942.8950521378,14581,3.4099011927028187,0.23385921354521766,,ablation_frvcp,baseline
tc0c20s3cf2.xml,20,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,16.334066684553044,3,100,120000,28924,91076,850,0,13.07924509048462,190,114,114,820942.8950521378,13463,3.126799073885195,0.23225128677747864,,ablation_frvcp,no_shaking
tc0c20s3cf2.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,17.004634932887406,3,100,57944,9649,48295,148,4,8.186649799346924,190,114,114,820942.8950521378,9968,2.349991653871257,0.23575357683299125,,ablation_frvcp,no_extended_operators
tc0c20s3ct2.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,15.85179219078399,3,100,120000,32182,87818,1677,4,14.14166808128357,190,114,114,741834.6465539064,14621,3.6552914883359335,0.25000283758538633,,ablation_frvcp,baseline
tc0c20s3ct2.xml,20,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,15.85179219078399,3,100,120000,32004,87996,1808,0,13.916908264160156,190,114,114,741834.6465539064,14194,3.494743184710387,0.2462127085184153,,ablation_frvcp,no_shaking
tc0c20s3ct2.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,16.02920945851461,3,100,57252,9373,47879,96,4,6.5094709396362305,190,114,114,741834.6465539064,7889,1.9180545779527165,0.2431302545256327,,ablation_frvcp,no_extended_operators
tc0c20s4cf2.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,16.390468460335185,3,100,120000,22930,97070,996,4,13.484120845794678,190,114,114,823386.7225058521,13284,3.435327136539854,0.2586063788422052,,ablation_frvcp,baseline
tc0c20s4cf2.xml,20,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,16.390468460335185,3,100,120000,22598,97402,576,0,12.463249921798706,190,114,114,823386.7225058521,11537,2.9890273237251677,0.2590818517574038,,ablation_frvcp,no_shaking
tc0c20s4cf2.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,16.565631137769827,3,100,60068,15026,45042,331,4,7.006565093994141,190,114,114,823386.7225058521,8241,2.1020521987811662,0.2550724667857258,,ablation_frvcp,no_extended_operators
tc0c20s4ct2.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,15.671571548428572,3,100,120000,29119,90881,2154,4,16.831440210342407,190,114,114,737075.0970300089,18289,5.175750721828081,0.2829980163939024,,ablation_frvcp,baseline
tc0c20s4ct2.xml,20,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,15.753257754066626,3,100,120000,27843,92157,2303,0,13.013553857803345,190,114,114,737075.0970300089,11767,3.3210544888861477,0.2822345958091398,,ablation_frvcp,no_shaking
tc0c20s4ct2.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,15.80142444983886,3,100,58760,13527,45233,170,4,7.379410028457642,190,114,114,737075.0970300089,7817,2.1138882649247535,0.27042193487587995,,ablation_frvcp,no_extended_operators
tc1c20s3cf1.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,14.848118673777591,3,100,120000,46106,73894,2033,4,19.139522075653076,190,114,112,608330.0934181722,21987,6.017404798476491,0.27368012000165964,,ablation_frvcp,baseline
tc1c20s3cf1.xml,20,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,14.848118673777591,3,100,120000,44190,75810,1740,0,16.52059292793274,190,114,112,608330.0934181722,17429,4.77126655500615,0.2737544641118911,,ablation_frvcp,no_shaking
tc1c20s3cf1.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,15.368846363430665,3,100,57544,18052,39492,192,4,7.82248592376709,190,114,112,608330.0934181722,9187,2.470842642709613,0.2689498903569841,,ablation_frvcp,no_extended_operators
tc1c20s3cf3.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.669794371373289,3,100,120000,28398,91602,1368,4,15.970855951309204,190,114,110,659555.1139822198,18091,4.5689787362352945,0.25255534443841104,,ablation_frvcp,baseline
tc1c20s3cf3.xml,20,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,11.669794371373289,3,100,120000,28245,91755,1572,0,13.919731855392456,190,114,110,659555.1139822198,14485,3.6137304891017266,0.24948087601668806,,ablation_frvcp,no_shaking
tc1c20s3cf3.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,11.91338035122609,3,100,53084,11193,41891,333,4,6.953182220458984,190,114,110,659555.1139822198,8466,2.085732872132212,0.24636580110231654,,ablation_frvcp,no_extended_operators
tc1c20s3cf4.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,15.332326339267532,3,100,120000,41194,78806,2909,4,15.321533203125,190,114,112,719848.7231146516,17486,3.9729491734760813,0.2272074330021778,,ablation_frvcp,baseline
tc1c20s3cf4.xml,20,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,15.332326339267532,3,100,120000,41127,78873,3885,0,15.477719068527222,190,114,112,719848.7231146516,17798,4.100141676841304,0.23037092239809548,,ablation_frvcp,no_shaking
tc1c20s3cf4.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,15.948965370835982,3,100,57596,13648,43948,172,4,8.236467838287354,190,114,112,719848.7231146516,10543,2.4801147666876204,0.23523805052524144,,ablation_frvcp,no_extended_operators
tc1c20s3ct1.xml,20,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,13.265695847478403,3,100,120000,48768,71232,2527,4,30.05233597755432,190,114,112,615138.9380368905,31228,12.48756394017255,0.39988356411465825,,ablation_frvcp,baseline
tc1c20s3ct1.xml,20,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,13.265695847478403,3,100,120000,49201,70799,2362,0,26.02707600593567,190,114,112,615138.9380368905,25489,10.22483474231558,0.4011469552479728,,ablation_frvcp,no_shaking
